cpf; data_nasc;
84280745005;11051995;
66832732279;11052002;
85666576917;11051987;
93499358727;11052003;
23157504231;11051995;
95791548800;11052005;
07648110024;11051994;
70870259105;11051989;
78952084977;11052003;
39598785246;11051990;
62879902010;11052006;
31349065110;11052004;
50043072372;11052004;
76873032298;11052002;
16561567765;11052004;
43391081708;11051996;
90515311847;11051990;
98133885361;11051992;
32338269748;11051989;
46765040200;11051990;
29405978802;11051993;
15613007217;11052001;
00330721917;11051990;
16388337023;11051992;
91514641879;11052006;
64394879906;11052001;
89256412322;11052005;
34833654350;11052001;
13994497027;11051998;
39682146500;11051992;
85453861762;11051996;
09308744207;11052006;
99110992022;11052005;
69351795802;11051989;
92214258000;11051993;
24790446379;11051987;
83127442661;11051998;
32450717951;11051991;
78635731816;11052002;
66487848069;11051999;
46014285997;11051995;
47867150005;11051993;
57994127886;11051997;
47569305817;11051995;
78586629375;11052005;
08527294214;11051991;
30216495806;11051997;
78259195992;11052002;
46691179552;11052001;
04181365301;11052004;
